contract_id,player_id,age,service_time,contract_year,duration,value,contract_type,position,stats_year,stats_window,bat_games,bat_plate_appearances,bat_at_bats,bat_hits,bat_doubles,bat_triples,bat_home_runs,bat_runs,bat_rbis,bat_stolen_bases,bat_caught_stealing,bat_walks,bat_strikeouts,bat_batting_avg,bat_on_base_pct,bat_slugging_pct,bat_ops,bat_wrc_plus,bat_war,bat_babip,bat_iso,bat_bb_pct,bat_k_pct,bat_hard_hit_pct,bat_barrel_pct,pit_games,pit_games_started,pit_innings_pitched,pit_wins,pit_losses,pit_saves,pit_holds,pit_strikeouts,pit_walks,pit_hits_allowed,pit_home_runs_allowed,pit_era,pit_whip,pit_k_per_9,pit_bb_per_9,pit_fip,pit_xfip,pit_siera,pit_war,pit_k_pct,pit_bb_pct,pit_k_bb_ratio,pit_ground_ball_pct,pit_fly_ball_pct,pit_hard_hit_pct
Holland_5390_2011,Holland_5390,24,1.12,2011,1,0.43181,pre-arb,SP,2010,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,14,10,57.1,3,4,0,1,54,24,55,6,4.08,1.38,8.48,3.77,4.02,4.21,3.88,0.8,0.213,0.095,2.25,0.42100000000000004,0.42700000000000005,
Rzepczynski_7355_2011,Rzepczynski_7355,25,1.036,2011,1,0.4296,pre-arb,RP,2010,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,14,12,63.2,4,4,0,2,57,30,72,8,4.95,1.6,8.06,4.24,4.57,4.14,4.07,0.3,0.19899999999999998,0.105,1.9,0.51,0.325,
Maybin_327_2011,Maybin_327,24,1.073,2011,1,0.4291,pre-arb,CF,2010,1,82,322,291,68,7,3,8,46,28,9,2,24,92,0.234,0.302,0.361,0.663,78.0,0.4,0.313,0.127,0.075,0.28600000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butera_7437_2011,Butera_7437,27,1.0,2011,1,0.429,pre-arb,C,2010,1,49,155,142,28,6,1,2,12,13,0,0,4,25,0.197,0.237,0.296,0.533,40.0,0.0,0.222,0.099,0.026000000000000002,0.161,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harrison_5389_2011,Harrison_5389,25,2.083,2011,1,0.42883,pre-arb,SP,2010,1,37,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,1.0,,,37,6,78.1,3,2,2,3,46,39,80,10,4.71,1.52,5.29,4.48,5.13,4.81,4.85,-0.2,0.129,0.11,1.18,0.466,0.32799999999999996,
Rodriguez_7538_2011,Rodriguez_7538,26,1.133,2011,1,0.4286,pre-arb,2B,2010,1,118,378,343,86,19,2,9,53,40,13,3,21,97,0.251,0.308,0.397,0.705,96.0,2.1,0.324,0.146,0.055999999999999994,0.257,,,,,,,,,,,,,,,,,,,,,,,,,,,
Escobar_7417_2011,Escobar_7417,24,1.082,2011,1,0.428,pre-arb,SS,2010,1,145,552,506,119,14,10,4,57,41,10,4,36,70,0.235,0.288,0.326,0.614,62.0,0.4,0.264,0.091,0.065,0.127,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cashner_7263_2011,Cashner_7263,24,0.126,2011,1,0.4275,pre-arb,SP,2010,1,53,3,2,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.667,,,53,0,54.1,2,6,0,16,50,30,55,8,4.8,1.56,8.28,4.97,5.03,4.26,3.96,-0.6,0.20199999999999999,0.121,1.67,0.484,0.32899999999999996,
Russell_7270_2011,Russell_7270,25,1.0,2011,1,0.4275,pre-arb,RP,2010,1,57,4,4,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100.0,-0.1,0.0,0.0,0.0,0.5,,,57,0,49.0,1,1,0,6,42,11,55,11,4.96,1.35,7.71,2.02,5.2,4.23,3.56,-0.4,0.192,0.05,3.82,0.31,0.494,
Joyce_7534_2011,Joyce_7534,26,1.123,2011,1,0.4265,pre-arb,RF,2010,1,77,261,216,52,15,3,10,30,40,2,2,40,55,0.241,0.36,0.477,0.837,131.0,1.9,0.273,0.236,0.153,0.21100000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parra_7224_2011,Parra_7224,24,1.145,2011,1,0.426,pre-arb,LF,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moreland_7560_2011,Moreland_7560,25,0.067,2011,1,0.426,pre-arb,1B,2010,1,47,173,145,37,4,0,9,20,25,3,1,25,36,0.255,0.364,0.469,0.833,115.0,0.7,0.275,0.214,0.145,0.20800000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brignac_7525_2011,Brignac_7525,25,1.07,2011,1,0.4254,pre-arb,3B,2010,1,113,326,301,77,13,1,8,39,45,3,3,20,77,0.256,0.307,0.385,0.692,90.0,1.4,0.317,0.13,0.061,0.23600000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avila_7381_2011,Avila_7381,24,1.061,2011,1,0.425,pre-arb,C,2010,1,104,333,294,67,12,0,7,28,31,2,2,36,71,0.228,0.316,0.34,0.656,81.0,0.3,0.278,0.112,0.10800000000000001,0.213,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sale_7278_2011,Sale_7278,22,0.061,2011,1,0.425,pre-arb,SP,2010,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,21,0,23.1,2,1,4,2,32,10,15,2,1.93,1.07,12.34,3.86,2.73,2.56,2.28,0.6,0.348,0.109,3.2,0.51,0.36700000000000005,
Barton_601_2011,Barton_601,25,2.119,2011,1,0.425,pre-arb,1B,2010,1,159,686,556,152,33,5,10,79,57,7,3,110,102,0.273,0.393,0.405,0.798,126.0,5.0,0.316,0.131,0.16,0.149,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonifacio_5250_2011,Bonifacio_5250,26,2.066,2011,1,0.425,pre-arb,CF,2010,1,73,201,180,47,6,3,0,30,10,12,0,17,42,0.261,0.32,0.328,0.648,75.0,1.2,0.333,0.067,0.085,0.209,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leake_7285_2011,Leake_7285,23,1.0,2011,1,0.425,pre-arb,SP,2010,1,28,60,48,16,1,0,0,5,3,0,0,5,15,0.333,0.407,0.354,0.762,114.0,0.9,0.485,0.021,0.083,0.25,,,24,22,138.1,8,4,0,0,91,49,158,19,4.23,1.5,5.92,3.19,4.68,4.16,4.31,0.8,0.151,0.081,1.86,0.502,0.319,
