,Index,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W
23,5436,0,0,0.0,0.0,2,0,2,0,0,1,5.0,2,0,0,0,1,0,2,0,0,0,18,0,3.09,0.6,3.6,0.0,1.8,3.6,2.0
24,5436,0,4,0.0,6.63,12,12,0,0,0,0,55.2,68,41,41,14,19,0,42,6,0,0,250,76,6.4,1.563,11.0,2.3,3.1,6.8,2.21
25,4237,1,1,0.5,5.2,19,0,2,0,0,0,27.2,29,16,16,3,7,0,26,1,0,0,116,85,3.69,1.301,9.4,1.0,2.3,8.5,3.71
26,3415,4,0,1.0,3.06,35,0,3,0,0,1,35.1,30,14,12,3,9,0,36,0,0,1,141,149,3.12,1.104,7.6,0.8,2.3,9.2,4.0
27,4753,4,2,0.667,5.17,17,16,0,0,0,0,87.0,96,52,50,10,39,0,73,4,1,4,393,86,4.59,1.552,9.9,1.0,4.0,7.6,1.87
28,3391,0,1,0.0,27.0,2,0,1,0,0,0,1.2,5,6,5,1,1,0,2,0,0,1,11,19,10.49,3.6,27.0,5.4,5.4,10.8,2.0
29,1944,0,0,0.0,0.76,16,3,3,0,0,0,23.2,16,2,2,1,5,0,25,1,0,0,91,547,2.49,0.887,6.1,0.4,1.9,9.5,5.0
30,3175,5,7,0.417,5.77,18,18,0,0,0,0,93.2,105,61,60,14,39,0,66,7,1,3,419,82,5.3,1.537,10.1,1.3,3.7,6.3,1.69
31,350,0,2,0.0,3.8,15,1,8,0,0,0,42.2,40,18,18,5,20,0,33,0,0,0,178,118,4.67,1.406,8.4,1.1,4.2,7.0,1.65
32,1267,0,0,0.0,0.0,1,0,0,0,0,0,3.0,1,0,0,0,1,0,4,1,0,0,11,0,2.62,0.667,3.0,0.0,3.0,12.0,4.0
33,4777,1,2,0.333,3.18,11,0,4,0,0,1,17.0,17,7,6,0,11,1,14,1,0,3,77,142,3.76,1.647,9.0,0.0,5.8,7.4,1.27
34,3103,3,3,0.5,3.83,43,0,2,0,0,0,40.0,29,18,17,3,23,2,48,1,0,3,167,110,3.66,1.3,6.5,0.7,5.2,10.8,2.09
35,-1,1,0,1.0,1.38,10,0,3,0,0,0,13.0,11,2,2,2,4,0,9,0,0,1,52,320,4.83,1.154,7.6,1.4,2.8,6.2,2.25
36,-1,0,0,0.0,6.43,10,0,5,0,0,0,7.0,9,5,5,1,5,0,6,1,0,1,35,68,6.0,2.0,11.6,1.3,6.4,7.7,1.2
37,3507,0,3,0.0,5.61,12,3,5,0,0,0,25.2,25,16,16,5,6,0,25,2,0,0,107,79,4.81,1.208,8.8,1.8,2.1,8.8,4.17
38,1550,4,1,0.8,2.02,34,0,7,0,0,1,35.2,20,8,8,2,27,1,32,4,1,2,150,251,4.83,1.318,5.0,0.5,6.8,8.1,1.19
39,-1,1,1,0.5,4.66,13,0,4,0,0,0,9.2,13,5,5,2,2,0,6,0,0,0,44,97,5.36,1.552,12.1,1.9,1.9,5.6,3.0
40,742,2,4,0.333,4.89,34,0,29,0,0,11,35.0,31,21,19,3,19,0,45,0,0,3,154,91,3.46,1.429,8.0,0.8,4.9,11.6,2.37
41,3956,1,0,1.0,5.48,24,1,3,0,0,0,21.1,25,13,13,2,10,1,20,1,1,2,99,80,4.18,1.641,10.5,0.8,4.2,8.4,2.0
42,6273,0,0,0.0,0.0,2,0,2,0,0,0,2.0,3,0,0,0,0,0,0,0,0,0,9,0,3.29,1.5,13.5,0.0,0.0,0.0,0.0
43,-1,2,5,0.286,3.64,21,6,8,0,0,0,59.1,51,31,24,10,17,3,48,2,1,1,242,123,4.82,1.146,7.7,1.5,2.6,7.3,2.82
44,-1,0,0,0.0,4.95,22,0,7,0,0,0,20.0,19,12,11,3,9,2,19,0,0,1,88,86,4.69,1.4,8.6,1.4,4.1,8.6,2.11
45,5055,10,5,0.667,3.92,21,21,0,1,1,0,121.2,110,60,53,18,37,0,112,11,2,2,513,107,4.55,1.208,8.1,1.3,2.7,8.3,3.03
46,-1,0,5,0.0,5.19,7,6,1,0,0,0,34.2,34,22,20,7,12,0,27,0,0,1,146,81,5.39,1.327,8.8,1.8,3.1,7.0,2.25
47,3098,6,0,1.0,3.69,43,0,10,0,0,0,46.1,34,20,19,4,26,1,50,2,0,5,193,114,4.07,1.295,6.6,0.8,5.1,9.7,1.92
48,3089,5,1,0.833,0.94,44,0,38,0,0,27,48.0,21,9,5,3,19,0,93,2,0,6,184,449,1.54,0.833,3.9,0.6,3.6,17.4,4.89
49,717,0,0,0.0,15.43,3,0,2,0,0,0,2.1,6,4,4,0,0,0,1,0,0,0,13,31,2.43,2.571,23.1,0.0,0.0,3.9,0.0
50,-1,0,0,0.0,27.0,1,0,1,0,0,0,1.0,3,3,3,0,1,0,1,0,0,0,7,22,4.29,4.0,27.0,0.0,9.0,9.0,1.0
51,4054,1,0,1.0,3.06,20,0,9,0,0,2,50.0,44,18,17,6,12,0,38,2,0,3,204,141,4.17,1.12,7.9,1.1,2.2,6.8,3.17
52,4932,3,1,0.75,1.15,38,0,32,0,0,19,39.0,28,9,5,1,9,3,47,1,0,1,155,390,1.98,0.949,6.5,0.2,2.1,10.8,5.22
53,1556,2,3,0.4,6.27,27,7,6,0,0,1,37.1,36,26,26,4,19,0,40,1,0,3,169,66,4.15,1.473,8.7,1.0,4.6,9.6,2.11
54,-1,1,0,1.0,5.06,19,0,3,0,0,0,16.0,14,10,9,2,10,0,17,0,0,0,73,87,4.66,1.5,7.9,1.1,5.6,9.6,1.7
55,5437,7,6,0.538,3.6,16,16,0,0,0,0,90.0,86,38,36,13,24,0,78,4,0,1,380,130,4.37,1.222,8.6,1.3,2.4,7.8,3.25
56,5455,1,0,1.0,2.48,28,3,6,0,0,0,32.2,26,10,9,2,8,0,35,2,0,1,128,189,2.86,1.041,7.2,0.6,2.2,9.6,4.38
57,5057,8,7,0.533,3.39,20,20,0,0,0,0,119.1,105,48,45,13,34,1,114,7,1,3,488,123,3.83,1.165,7.9,1.0,2.6,8.6,3.35
58,3517,0,0,0.0,0.0,1,0,0,0,0,0,0.2,0,0,0,0,3,0,1,0,0,1,5,0,13.79,4.5,0.0,0.0,40.5,13.5,0.33
59,1982,0,0,0.0,81.0,1,0,1,0,0,0,0.1,3,3,3,1,0,0,0,0,0,0,4,11,42.29,9.0,81.0,27.0,0.0,0.0,0.0
60,759,6,2,0.75,3.04,15,15,0,0,0,0,83.0,70,30,28,7,29,0,85,4,0,6,346,137,3.53,1.193,7.6,0.8,3.1,9.2,2.93
61,-1,2,2,0.5,5.26,33,0,10,0,0,0,39.1,36,24,23,5,23,3,46,0,1,3,176,85,4.36,1.5,8.2,1.1,5.3,10.5,2.0
62,4744,2,1,0.667,4.5,8,6,0,0,0,0,30.0,33,15,15,1,13,0,28,5,0,0,141,100,3.66,1.533,9.9,0.3,3.9,8.4,2.15
63,741,5,6,0.455,3.77,19,19,0,1,0,0,117.0,113,50,49,14,33,0,95,3,1,6,489,110,4.14,1.248,8.7,1.1,2.5,7.3,2.88
64,26,5,5,0.5,3.46,12,11,0,0,0,0,65.0,65,28,25,10,26,0,50,4,0,2,278,121,5.14,1.4,9.0,1.4,3.6,6.9,1.92
65,1564,2,1,0.667,4.03,45,2,4,0,0,0,58.0,61,30,26,3,19,0,54,4,0,2,247,125,3.29,1.379,9.5,0.5,2.9,8.4,2.84
66,-1,0,0,0.0,6.75,7,0,2,0,0,0,13.1,24,13,10,2,2,0,5,1,0,0,66,76,5.16,1.95,16.2,1.4,1.4,3.4,2.5
67,4711,1,2,0.333,5.06,10,9,0,0,0,0,48.0,58,28,27,5,18,0,49,3,0,0,221,81,3.91,1.583,10.9,0.9,3.4,9.2,2.72
68,28,2,1,0.667,4.7,15,6,7,0,0,0,46.0,42,27,24,12,24,0,48,2,0,2,199,90,6.29,1.435,8.2,2.3,4.7,9.4,2.0
69,-1,1,0,1.0,5.09,21,0,2,0,0,0,23.0,28,15,13,4,4,1,14,2,0,3,100,93,5.12,1.391,11.0,1.6,1.6,5.5,3.5
70,732,0,0,0.0,9.9,7,0,2,0,0,0,10.0,18,11,11,2,10,0,10,1,0,0,58,47,7.19,2.8,16.2,1.8,9.0,9.0,1.0
71,4938,1,0,1.0,4.05,12,1,0,0,0,0,13.1,11,6,6,2,0,0,14,3,0,0,53,113,3.81,0.825,7.4,1.4,0.0,9.5,0.0
72,-1,0,1,0.0,5.52,17,0,4,0,0,2,14.2,13,9,9,3,9,1,13,1,0,0,65,83,6.22,1.5,8.0,1.8,5.5,8.0,1.44
73,-1,5,5,0.5,5.45,15,15,0,0,0,0,71.0,69,46,43,11,25,0,73,2,0,2,303,79,4.39,1.324,8.7,1.4,3.2,9.3,2.92
74,-1,0,0,0.0,3.68,5,0,2,0,0,0,7.1,5,3,3,0,6,0,6,0,0,0,31,134,4.11,1.5,6.1,0.0,7.4,7.4,1.0
75,4231,2,1,0.667,4.78,10,5,2,0,0,0,32.0,28,17,17,6,8,0,29,1,0,0,130,92,4.76,1.125,7.9,1.7,2.3,8.2,3.63
76,3096,6,5,0.545,3.05,18,18,0,0,0,0,97.1,85,34,33,9,25,0,92,5,0,5,397,137,3.53,1.13,7.9,0.8,2.3,8.5,3.68
77,-1,0,0,0.0,11.05,4,0,2,0,0,0,7.1,13,10,9,2,3,0,7,1,0,1,39,41,6.56,2.182,16.0,2.5,3.7,8.6,2.33
78,1961,5,6,0.455,5.29,14,14,0,0,0,0,66.1,71,42,39,12,21,0,89,1,0,3,291,78,3.95,1.387,9.6,1.6,2.8,12.1,4.24
79,720,4,3,0.571,3.57,47,0,3,0,0,1,40.1,39,18,16,1,17,0,70,5,0,5,180,116,1.78,1.388,8.7,0.2,3.8,15.6,4.12
80,2029,2,0,1.0,5.03,32,0,13,0,0,2,34.0,29,21,19,2,14,1,29,2,0,3,143,92,3.76,1.265,7.7,0.5,3.7,7.7,2.07
81,2029,1,0,1.0,7.29,20,0,10,0,0,1,21.0,24,18,17,2,9,0,18,2,0,2,95,65,4.38,1.571,10.3,0.9,3.9,7.7,2.0
82,2029,1,0,1.0,1.38,12,0,3,0,0,1,13.0,5,3,2,0,5,1,11,0,0,1,48,327,2.75,0.769,3.5,0.0,3.5,7.6,2.2
83,1995,3,2,0.6,3.72,41,0,4,0,0,0,48.1,48,21,20,4,21,1,49,2,0,1,209,117,3.76,1.428,8.9,0.7,3.9,9.1,2.33
84,3493,2,0,1.0,3.14,29,8,3,0,0,0,28.2,21,10,10,2,10,1,36,0,0,0,116,138,2.73,1.081,6.6,0.6,3.1,11.3,3.6
85,-1,0,0,0.0,4.32,3,0,1,0,0,0,8.1,6,4,4,3,3,0,4,1,0,1,34,102,8.45,1.08,6.5,3.2,3.2,4.3,1.33
86,3266,0,0,0.0,5.4,3,0,1,0,0,0,3.1,3,2,2,0,1,0,3,0,0,0,14,88,2.39,1.2,8.1,0.0,2.7,8.1,3.0
87,-1,0,2,0.0,5.16,32,0,7,0,0,0,29.2,18,18,17,6,13,0,33,5,0,0,124,81,5.51,1.045,5.5,1.8,3.9,10.0,2.54
88,-1,0,0,0.0,2.57,3,0,3,0,0,1,7.0,5,3,2,0,4,1,5,0,0,1,30,181,3.57,1.286,6.4,0.0,5.1,6.4,1.25
89,-1,0,0,0.0,0.0,1,0,1,0,0,1,3.0,0,0,0,0,1,0,4,0,0,1,10,0,1.62,0.333,0.0,0.0,3.0,12.0,4.0
90,-1,0,0,0.0,4.5,2,0,2,0,0,0,4.0,5,3,2,0,3,1,1,0,0,0,20,104,5.04,2.0,11.3,0.0,6.8,2.3,0.33
91,1268,4,4,0.5,4.7,12,11,0,0,0,0,51.2,48,30,27,8,21,0,35,2,1,0,219,90,5.28,1.335,8.4,1.4,3.7,6.1,1.67
92,226,2,1,0.667,4.03,27,1,3,0,0,0,29.0,29,14,13,5,13,0,26,1,0,2,127,108,5.19,1.448,9.0,1.6,4.0,8.1,2.0
93,-1,0,0,0.0,3.86,3,0,3,0,0,0,2.1,1,1,1,1,1,0,0,0,0,0,9,129,10.15,0.857,3.9,3.9,3.9,0.0,0.0
94,22,6,7,0.462,4.26,18,18,0,0,0,0,99.1,98,51,47,11,33,0,118,5,0,2,418,98,3.5,1.319,8.9,1.0,3.0,10.7,3.58
95,-1,1,0,1.0,3.22,18,0,8,0,0,0,22.1,22,8,8,2,5,0,17,2,0,2,91,139,3.87,1.209,8.9,0.8,2.0,6.9,3.4
96,3411,0,2,0.0,3.94,3,3,0,0,0,0,16.0,19,7,7,1,2,0,16,1,0,1,68,114,2.66,1.313,10.7,0.6,1.1,9.0,8.0
97,4404,0,0,0.0,3.0,3,0,0,0,0,0,3.0,2,2,1,0,3,1,3,1,0,1,14,176,5.29,1.667,6.0,0.0,9.0,9.0,1.0
98,4404,0,0,0.0,9.0,1,0,0,0,0,0,1.0,2,2,1,0,2,1,1,0,0,1,7,63,7.29,4.0,18.0,0.0,18.0,9.0,0.5
99,4404,0,0,0.0,0.0,2,0,0,0,0,0,2.0,0,0,0,0,1,0,2,1,0,0,7,0,4.29,0.5,0.0,0.0,4.5,9.0,2.0
100,-1,0,3,0.0,10.26,4,4,0,0,0,0,16.2,25,20,19,4,15,0,10,1,0,0,90,42,8.09,2.4,13.5,2.2,8.1,5.4,0.67
101,5356,3,2,0.6,6.82,39,0,6,0,0,0,34.1,33,27,26,0,17,3,43,1,0,3,154,64,2.36,1.456,8.7,0.0,4.5,11.3,2.53
102,3382,0,0,0.0,9.0,3,0,2,0,0,0,3.0,3,3,3,0,3,0,4,0,0,1,15,55,3.62,2.0,9.0,0.0,9.0,12.0,1.33
103,-1,0,0,0.0,11.25,3,0,1,0,0,0,4.0,6,6,5,0,2,0,5,0,0,2,20,40,2.29,2.0,13.5,0.0,4.5,11.3,2.5
104,4226,4,2,0.667,2.77,32,0,4,0,0,0,39.0,37,14,12,5,6,3,30,2,0,0,160,158,4.03,1.103,8.5,1.2,1.4,6.9,5.0
105,3928,0,0,0.0,21.6,2,0,2,0,0,0,1.2,8,4,4,1,0,0,1,0,0,0,13,24,9.89,4.8,43.2,5.4,0.0,5.4,0.0
106,3073,9,5,0.643,3.49,20,20,0,0,0,0,121.1,87,51,47,14,42,0,125,6,0,5,492,125,3.92,1.063,6.5,1.0,3.1,9.3,2.98
